,text,id,created_at,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder.y,src
1,".@BobbyJindal: ""Immigration without assimilation is invasion"" #CNNdebate https://t.co/0kfjt5s4Rl",760929101951762432,9/16/2015 22:54:56,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
2,".@CarlyFiorina ""You cannot lead from behind... we must be the world's leader"" @RJCHQ  https://t.co/MQM1LctkNf #Carly2016",591600158170742784,12/6/2015 22:00:05,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
3,".@CarlyFiorina signs her book for a supporter in Ankeny, IA #Carly2016 #iacaucus https://t.co/dDU7poWK99",776074676271476736,1/28/2016 16:05:40,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
4,".@CarlyFiorina: ""I've done over 150 events in Iowa &amp; I have 15 more coming up."" #iacaucus #GOPDebate #Carly2016",692862073575858176,1/29/2016 0:09:25,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
5,".@HuffPostPol: @tedcruz's Solution To The Heroin Epidemic: Secure The Border, Have Faith https://t.co/6qZxg45ECO",644508900285288448,2/5/2016 21:17:48,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
6,.@IowaGOPer cites Perry's organizational prowess and appeal as a candidate as reasons for his strength in Iowa. http://t.co/N8s9RoX5bf,772110230020771840,6/10/2015 16:04:31,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
7,.@JebBush on his plan to cut taxes for the wealthy: thats just the way it is. #WrongForUs https://t.co/h2JvEZLXq8 https://t.co/LoV5owubcS,697109260002586624,10/29/2015 1:05:54,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
8,.@nytimes: Trump and his supporters completed a hostile takeover of one of Americas two major political parties. https://t.co/mxWHYFPXo0,688581868883558400,5/9/2016 21:43:06,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
9,.@politico: @tedcruz: @marcorubio had all the advantages ... and still lost https://t.co/KtQHBNTjEu,775493472463708160,2/22/2016 21:13:15,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
10,.@realDonaldTrump cant be trusted to lead us in our most crucial moments. RT if you agree. https://t.co/SLeXA8ffVA,729837301019357184,9/13/2016 0:37:06,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christian,brittanychristian
