,text,id,created_at,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder.y,src
1,.@CarlyFiorina discusses with @megynkelly how to keep the US safe from ISIS #Carly2016 https://t.co/79hsvgDiR2,664264050902220800,11/18/2015 18:00:03,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher
2,".@quinnipiacPoll: In potential matchup, Scott Walker leads Hillary Clinton in Colorado by 9 points. http://t.co/pbgGLRgoCF #Walker16",715574844213997568,7/22/2015 14:37:01,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher
3,".@tampabaytimes: @marcorubio drew strong student reviews, but skimped on job requirements as FIU professor https://t.co/SZnLMTROIm",681180571196760064,11/30/2015 16:47:35,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher
4,.@TedCruz wants to follow Paul Ryan's lead and turn Medicare into a voucher system https://t.co/2DqXCN2sjU #GOPDebate,623864328807149568,11/11/2015 2:40:44,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,christopher,brittanychristopher
5,"""First of all recognize that we have an incredibly illegal immigration problem. I was down in Arizona a few weeks ago. Down at the border.",656934533342896128,9/17/2015 1:17:09,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,christopher,brittanychristopher
6,"""John Kasich Is the Real Deal: Pay Attention To Him"" read more about John Kasich http://t.co/zLFagVA9vd and join our team! #kasich4us",692440618241363968,7/24/2015 18:06:28,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,christopher,brittanychristopher
7,"""Our generation needs @MartinOMalley in the White House"" http://t.co/odElabdhd7 via @DMRegister",695050290370781184,7/24/2015 19:58:25,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher
8,@JoeyCough @Bernie_Sandwich @AssemblymanWiz @WomenForBernieS @ND4Bernie @Bernie4_2016 @BernieSandersOH @BernieArtists @mstobivail,697259865178296320,5/14/2016 22:29:39,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher
9,#News Polls Show Trumps Momentum Has Stalled  For Now - About a dozen national and state polls were released ... https://t.co/Cs0vFF74mn,636593702819885056,9/12/2016 15:31:37,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christopher,brittanychristopher
10,"#Trumps reckless, dangerous Islamophobia helps the #IslamicState. READ: https://t.co/fy5NibmTFe",693262808746594304,6/14/2016 13:56:04,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christopher,brittanychristopher
