,text,id,created_at,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder.y,src
1,.@CarlyFiorina takes question from man who was taught by Carly's father at Meredith Town Hall #Carly2016 #fitn #nhpolitics,685264886339862528,1/8/2016 1:00:55,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
2,.@HillaryClinton has a plan to raise American incomes -- including the #minimumwage: https://t.co/vPg2E1l0DM https://t.co/4atz6Oex5C,717008336416145408,4/4/2016 15:18:03,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
3,".@HillaryClinton has put forward real &amp; achievable ideas to keep the ACA moving forward"" https://t.co/2vVFyEH9Y7",697121319834488832,2/9/2016 18:14:09,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
4,.@HillaryClinton is going after Wells Fargo again. https://t.co/0sjp4xJWz9,782976190038548480,10/3/2016 16:10:45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
5,".@HillaryClinton pledged ""to champion new federal laws banning discrimination against gays and lesbians"" http://t.co/Mv18gHTH4Q",650378806759325696,10/3/2015 18:36:05,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,brittany,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,christian,brittanychristian
6,".@HillaryClinton: Ending racial inequality will be ""the mission"" of my presidency. READ: https://t.co/zbWyJ94ogZ",699782394337980416,2/17/2016 2:28:18,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
7,".@JebBush is in a death spiral, on life support thanks to super PAC money says @woodhouseb: https://t.co/3VNIez81SD",660184920308887552,10/30/2015 20:02:05,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
8,".@JenGranholm: If #Trump wants to apologize, heres where he could start: https://t.co/QmW22JJWuD",766753174078226432,8/19/2016 21:46:16,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
9,".@realDonaldTrump didn't get much love from Scotland. #Turnberry
https://t.co/x1rkGDKXoT",746309962029109248,6/24/2016 11:52:15,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
10,".@realDonaldTrump supporter @RepChrisCollins praises Putin as a leader, says he ""is a strong personality."" https://t.co/Toz66Ewfsn",775810870391603200,9/13/2016 21:38:20,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
11,".@realdonaldtrump: I love bad markets. You can you do very well in a bad market."" https://t.co/kPFXfqH2S8",738136067879014400,6/1/2016 22:32:07,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,christian,brittanychristian
12,".@realDonaldTrump's unhinged and dangerous ""major policy speech"": https://t.co/QOROsl4cOD",742445917475885056,6/13/2016 19:57:55,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
13,.@tedcruz has momentum. Hard to see path for @marcorubio. Should Rubio bow out? https://t.co/NFjCuwIOKr #KSCaucus #CPAC2016 #SuperSaturday,706276672769658880,3/6/2016 0:34:15,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
14,"[#Trumps] not a businessman, hes a welcher. He doesnt pay his bills. https://t.co/cWZsRH0BRn https://t.co/6sq84BifOh",769203071813431296,8/26/2016 16:01:18,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
15,@LodiSilverado @CruzingJohn @maxlydic One need only look to Heritage Action and Conservative Review. They dissect every issue.,687885267953291264,1/15/2016 6:33:22,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
16,@TraceyTheisen you should join the #TrumpTrain. Sign up today! https://t.co/rpkYQB91Ru,775747199812546560,9/13/2016 17:25:19,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,brittanychristian
17,#JoinTheSurge and learn why @CarlyFiorina at https://t.co/KjwzV3Mk5e https://t.co/VVnXplaM2h,697059039931269120,2/9/2016 14:06:40,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,christian,brittanychristian
18,#Trump says Mexico will pay for border wall. Mexicans say otherwise. https://t.co/1OtX8vt3jx,771509478025854976,9/2/2016 0:46:08,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
19,2016 marks the 100th anniversary of @NatlParksService. Heres how @HillaryClinton will support it: https://t.co/syZ8PngWSK,738033645881958400,6/1/2016 15:45:07,0,1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,brittany,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,christian,brittanychristian
20,"Based on what he has said publicly so far, Trump indeed would force schools to allow guns. https://t.co/39TuRK1zes",733028649167785984,5/18/2016 20:17:03,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
21,Critics' charge that #Trump is temperamentally unfit to be president was proved right this morning. WATCH: https://t.co/vms7RyXk86,781957814696542208,9/30/2016 20:44:05,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,christian,brittanychristian
22,"Despite being called out for repeating canned lines, @marcorubio mostly stuck to the script at events in SC https://t.co/wZNXzOA6ab",697835069189328896,2/11/2016 17:30:20,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,brittanychristian
23,FACT: Donald Trump has more female executives than male executives in his organization.,715966204091957248,4/1/2016 18:16:59,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,brittanychristian
